Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
200124,19:45,Brescia,Milan,0,1,A,0,0,D,13,10,7,5,12,15,7,3,2,4,0
200125,14:00,Spal,Bologna,1,3,A,1,1,D,9,12,5,6,16,15,5,9,4,3,0
200125,17:00,Fiorentina,Genoa,0,0,D,0,0,D,15,8,6,6,18,21,7,6,4,3,0
200125,19:45,Torino,Atalanta,0,7,A,0,3,A,6,17,4,15,17,12,4,12,3,2,2
200126,11:30,Inter,Cagliari,1,1,D,1,0,H,14,8,5,3,10,10,4,6,4,1,2
200126,14:00,Parma,Udinese,2,0,H,2,0,H,10,15,5,5,12,9,5,11,2,3,0
200126,14:00,Sampdoria,Sassuolo,0,0,D,0,0,D,15,6,5,2,16,9,6,3,4,1,0
200126,14:00,Verona,Lecce,3,0,H,2,0,H,9,3,5,1,16,11,5,0,2,3,0
200126,17:00,Roma,Lazio,1,1,D,1,1,D,16,3,7,2,11,12,7,1,3,4,0
200126,19:45,Napoli,Juventus,2,1,H,0,0,D,11,7,4,5,14,14,3,2,2,5,0
200201,14:00,Bologna,Brescia,2,1,H,1,1,D,17,3,7,1,17,14,6,3,3,2,0
200201,17:00,Cagliari,Parma,2,2,D,1,1,D,21,17,11,5,12,15,8,7,3,2,0
200201,19:45,Sassuolo,Roma,4,2,H,3,0,H,16,19,9,9,6,19,5,11,1,7,0
200202,11:30,Juventus,Fiorentina,3,0,H,1,0,H,8,7,8,5,9,13,10,5,1,4,0
200202,14:00,Atalanta,Genoa,2,2,D,2,2,D,17,9,10,5,19,19,7,1,2,6,0
200202,14:00,Lazio,Spal,5,1,H,4,0,H,12,10,10,5,9,7,5,2,1,2,0
200202,14:00,Milan,Verona,1,1,D,1,1,D,17,8,6,6,11,12,9,3,1,4,0
200202,17:00,Lecce,Torino,4,0,H,2,0,H,14,11,11,4,14,23,5,3,3,3,0
200202,19:45,Udinese,Inter,0,2,A,0,0,D,11,14,4,10,10,16,3,2,2,2,0
200203,19:45,Sampdoria,Napoli,2,4,A,1,2,A,12,12,10,10,17,6,4,6,4,3,0
200205,19:45,Lazio,Verona,0,0,D,0,0,D,12,12,6,6,12,15,6,7,3,2,0
200207,19:45,Roma,Bologna,2,3,A,1,2,A,14,12,10,8,11,16,6,6,2,4,1
200208,14:00,Fiorentina,Atalanta,1,2,A,1,0,H,5,13,3,7,20,13,4,3,2,2,0
200208,17:00,Torino,Sampdoria,1,3,A,0,0,D,2,8,2,6,16,19,2,3,3,5,1
200208,19:45,Verona,Juventus,2,1,H,0,0,D,9,10,5,5,11,18,3,4,2,3,0
200209,11:30,Spal,Sassuolo,1,2,A,1,0,H,10,16,5,9,16,16,1,6,2,4,0
200209,14:00,Brescia,Udinese,1,1,D,0,0,D,9,16,7,8,8,17,4,9,0,3,0
200209,14:00,Genoa,Cagliari,1,0,H,1,0,H,8,8,5,6,15,15,5,3,3,6,0
200209,14:00,Napoli,Lecce,2,3,A,0,1,A,19,13,9,10,14,10,10,4,5,3,0
200209,17:00,Parma,Lazio,0,1,A,0,1,A,16,17,6,6,13,10,7,6,4,3,0
200209,19:45,Inter,Milan,4,2,H,0,2,A,14,8,11,5,6,13,7,6,4,2,0
